@@@@ Succesfully loaded iter 2999
@@@@ Successfully loaded data: train_set 210 | test_set 89
@@@@ Starting training!
saved at  2999
[3125/10000]; ttime: 25 (0.01, 0.02); loss: 0.321
[3126/10000]; ttime: 25 (0.01, 0.02); loss: 0.323
[3127/10000]; ttime: 25 (0.01, 0.02); loss: 0.334
[3128/10000]; ttime: 25 (0.01, 0.02); loss: 0.355
[3129/10000]; ttime: 26 (0.02, 0.32); loss: 0.331
[3130/10000]; ttime: 26 (0.01, 0.03); loss: 0.339
[3131/10000]; ttime: 26 (0.01, 0.03); loss: 0.341
[3132/10000]; ttime: 26 (0.01, 0.02); loss: 0.321
[3133/10000]; ttime: 26 (0.01, 0.02); loss: 0.332
[3134/10000]; ttime: 26 (0.01, 0.02); loss: 0.330
[3135/10000]; ttime: 26 (0.01, 0.02); loss: 0.332
[3136/10000]; ttime: 27 (0.02, 0.29); loss: 0.328
[3137/10000]; ttime: 27 (0.01, 0.03); loss: 0.324
[3138/10000]; ttime: 27 (0.01, 0.02); loss: 0.336
[3139/10000]; ttime: 27 (0.01, 0.02); loss: 0.325
[3140/10000]; ttime: 27 (0.01, 0.02); loss: 0.327
[3141/10000]; ttime: 27 (0.01, 0.02); loss: 0.332
[3142/10000]; ttime: 27 (0.01, 0.02); loss: 0.335
[3143/10000]; ttime: 28 (0.02, 0.27); loss: 0.326
[3144/10000]; ttime: 28 (0.01, 0.03); loss: 0.318
[3145/10000]; ttime: 28 (0.01, 0.03); loss: 0.325
[3146/10000]; ttime: 28 (0.01, 0.02); loss: 0.325
[3147/10000]; ttime: 28 (0.01, 0.02); loss: 0.337
[3148/10000]; ttime: 28 (0.01, 0.02); loss: 0.334
[3149/10000]; ttime: 28 (0.01, 0.02); loss: 0.325
[3150/10000]; ttime: 29 (0.02, 0.27); loss: 0.332
[3151/10000]; ttime: 29 (0.01, 0.02); loss: 0.338
[3152/10000]; ttime: 29 (0.01, 0.02); loss: 0.326
[3153/10000]; ttime: 29 (0.01, 0.02); loss: 0.324
[3154/10000]; ttime: 29 (0.01, 0.02); loss: 0.321
[3155/10000]; ttime: 29 (0.01, 0.02); loss: 0.337
[3156/10000]; ttime: 29 (0.01, 0.02); loss: 0.326
[3157/10000]; ttime: 30 (0.02, 1.14); loss: 0.323
[3158/10000]; ttime: 30 (0.01, 0.02); loss: 0.321
[3159/10000]; ttime: 31 (0.01, 0.02); loss: 0.322
[3160/10000]; ttime: 31 (0.01, 0.02); loss: 0.332
[3161/10000]; ttime: 31 (0.01, 0.02); loss: 0.317
[3162/10000]; ttime: 31 (0.01, 0.02); loss: 0.325
[3163/10000]; ttime: 31 (0.01, 0.02); loss: 0.329
[3164/10000]; ttime: 32 (0.02, 0.48); loss: 0.324
[3165/10000]; ttime: 32 (0.02, 0.03); loss: 0.318
[3166/10000]; ttime: 32 (0.01, 0.02); loss: 0.319
[3167/10000]; ttime: 32 (0.01, 0.02); loss: 0.337
[3168/10000]; ttime: 32 (0.01, 0.02); loss: 0.324
[3169/10000]; ttime: 32 (0.01, 0.02); loss: 0.315
[3170/10000]; ttime: 32 (0.01, 0.02); loss: 0.330
[3171/10000]; ttime: 32 (0.02, 0.26); loss: 0.330
[3172/10000]; ttime: 33 (0.02, 0.03); loss: 0.317
[3173/10000]; ttime: 33 (0.01, 0.02); loss: 0.320
[3174/10000]; ttime: 33 (0.01, 0.02); loss: 0.322
[3175/10000]; ttime: 33 (0.01, 0.02); loss: 0.325
[3176/10000]; ttime: 33 (0.01, 0.02); loss: 0.333
[3177/10000]; ttime: 33 (0.01, 0.02); loss: 0.338
[3178/10000]; ttime: 33 (0.02, 0.23); loss: 0.327
[3179/10000]; ttime: 33 (0.02, 0.03); loss: 0.324
[3180/10000]; ttime: 34 (0.02, 0.03); loss: 0.330
[3181/10000]; ttime: 34 (0.01, 0.02); loss: 0.342
[3182/10000]; ttime: 34 (0.01, 0.02); loss: 0.328
[3183/10000]; ttime: 34 (0.01, 0.02); loss: 0.326
[3184/10000]; ttime: 34 (0.01, 0.02); loss: 0.327
[3185/10000]; ttime: 34 (0.02, 0.30); loss: 0.328
[3186/10000]; ttime: 34 (0.02, 0.03); loss: 0.326
[3187/10000]; ttime: 34 (0.01, 0.02); loss: 0.332
[3188/10000]; ttime: 35 (0.01, 0.02); loss: 0.320
[3189/10000]; ttime: 35 (0.01, 0.02); loss: 0.319
[3190/10000]; ttime: 35 (0.01, 0.02); loss: 0.320
[3191/10000]; ttime: 35 (0.01, 0.02); loss: 0.340
[3192/10000]; ttime: 35 (0.02, 0.23); loss: 0.323
[3193/10000]; ttime: 35 (0.01, 0.02); loss: 0.322
[3194/10000]; ttime: 35 (0.01, 0.02); loss: 0.314
[3195/10000]; ttime: 35 (0.01, 0.02); loss: 0.334
[3196/10000]; ttime: 36 (0.01, 0.02); loss: 0.322
[3197/10000]; ttime: 36 (0.01, 0.02); loss: 0.317
[3198/10000]; ttime: 36 (0.01, 0.02); loss: 0.315
[3199/10000]; ttime: 36 (0.02, 0.40); loss: 0.325
[3200/10000]; ttime: 36 (0.01, 0.03); loss: 0.311
[3201/10000]; ttime: 36 (0.01, 0.02); loss: 0.314
[3202/10000]; ttime: 37 (0.01, 0.03); loss: 0.322
[3203/10000]; ttime: 37 (0.01, 0.02); loss: 0.324
[3204/10000]; ttime: 37 (0.01, 0.02); loss: 0.315
[3205/10000]; ttime: 37 (0.01, 0.02); loss: 0.316
[3206/10000]; ttime: 37 (0.02, 0.27); loss: 0.319
[3207/10000]; ttime: 37 (0.02, 0.03); loss: 0.323
[3208/10000]; ttime: 37 (0.01, 0.02); loss: 0.313
[3209/10000]; ttime: 37 (0.01, 0.02); loss: 0.322
[3210/10000]; ttime: 38 (0.01, 0.02); loss: 0.316
[3211/10000]; ttime: 38 (0.01, 0.02); loss: 0.316
[3212/10000]; ttime: 38 (0.01, 0.02); loss: 0.325
[3213/10000]; ttime: 38 (0.02, 0.36); loss: 0.309
[3214/10000]; ttime: 38 (0.01, 0.03); loss: 0.321
[3215/10000]; ttime: 38 (0.01, 0.02); loss: 0.321
[3216/10000]; ttime: 38 (0.01, 0.02); loss: 0.314
[3217/10000]; ttime: 39 (0.01, 0.02); loss: 0.313
[3218/10000]; ttime: 39 (0.01, 0.02); loss: 0.314
[3219/10000]; ttime: 39 (0.01, 0.02); loss: 0.318
[3220/10000]; ttime: 39 (0.02, 0.22); loss: 0.318
[3221/10000]; ttime: 39 (0.01, 0.03); loss: 0.316
[3222/10000]; ttime: 39 (0.01, 0.02); loss: 0.319
[3223/10000]; ttime: 39 (0.01, 0.02); loss: 0.304
[3224/10000]; ttime: 39 (0.01, 0.02); loss: 0.311
[3225/10000]; ttime: 40 (0.01, 0.02); loss: 0.309
[3226/10000]; ttime: 40 (0.01, 0.02); loss: 0.316
[3227/10000]; ttime: 40 (0.02, 0.25); loss: 0.313
[3228/10000]; ttime: 40 (0.02, 0.03); loss: 0.314
[3229/10000]; ttime: 40 (0.02, 0.03); loss: 0.315
[3230/10000]; ttime: 40 (0.01, 0.02); loss: 0.314
[3231/10000]; ttime: 40 (0.01, 0.02); loss: 0.317
[3232/10000]; ttime: 40 (0.01, 0.02); loss: 0.314
[3233/10000]; ttime: 41 (0.01, 0.02); loss: 0.313
[3234/10000]; ttime: 41 (0.02, 0.23); loss: 0.310
[3235/10000]; ttime: 41 (0.02, 0.03); loss: 0.317
[3236/10000]; ttime: 41 (0.02, 0.03); loss: 0.319
[3237/10000]; ttime: 41 (0.01, 0.02); loss: 0.315
[3238/10000]; ttime: 41 (0.01, 0.02); loss: 0.313
[3239/10000]; ttime: 41 (0.01, 0.02); loss: 0.307
[3240/10000]; ttime: 41 (0.01, 0.02); loss: 0.317
[3241/10000]; ttime: 42 (0.02, 0.25); loss: 0.314
[3242/10000]; ttime: 42 (0.02, 0.03); loss: 0.323
[3243/10000]; ttime: 42 (0.01, 0.02); loss: 0.312
[3244/10000]; ttime: 42 (0.01, 0.02); loss: 0.322
[3245/10000]; ttime: 42 (0.01, 0.02); loss: 0.305
[3246/10000]; ttime: 42 (0.01, 0.02); loss: 0.320
[3247/10000]; ttime: 42 (0.01, 0.02); loss: 0.311
[3248/10000]; ttime: 43 (0.02, 0.64); loss: 0.312
[3249/10000]; ttime: 43 (0.01, 0.03); loss: 0.307
[3250/10000]; ttime: 43 (0.01, 0.02); loss: 0.311
[3251/10000]; ttime: 43 (0.01, 0.02); loss: 0.306
[3252/10000]; ttime: 43 (0.01, 0.02); loss: 0.313
[3253/10000]; ttime: 44 (0.01, 0.02); loss: 0.305
[3254/10000]; ttime: 44 (0.01, 0.02); loss: 0.310
[3255/10000]; ttime: 44 (0.02, 0.30); loss: 0.305
[3256/10000]; ttime: 44 (0.01, 0.03); loss: 0.311
[3257/10000]; ttime: 44 (0.01, 0.02); loss: 0.310
[3258/10000]; ttime: 44 (0.01, 0.02); loss: 0.308
[3259/10000]; ttime: 44 (0.01, 0.02); loss: 0.305
[3260/10000]; ttime: 45 (0.01, 0.02); loss: 0.310
[3261/10000]; ttime: 45 (0.01, 0.02); loss: 0.304
[3262/10000]; ttime: 45 (0.02, 0.29); loss: 0.303
[3263/10000]; ttime: 45 (0.02, 0.03); loss: 0.305
[3264/10000]; ttime: 45 (0.01, 0.02); loss: 0.305
[3265/10000]; ttime: 45 (0.01, 0.02); loss: 0.313
[3266/10000]; ttime: 45 (0.01, 0.02); loss: 0.308
[3267/10000]; ttime: 45 (0.01, 0.02); loss: 0.306
[3268/10000]; ttime: 46 (0.01, 0.02); loss: 0.304
[3269/10000]; ttime: 46 (0.02, 0.30); loss: 0.301
[3270/10000]; ttime: 46 (0.01, 0.03); loss: 0.298
[3271/10000]; ttime: 46 (0.01, 0.02); loss: 0.301
[3272/10000]; ttime: 46 (0.01, 0.02); loss: 0.313
[3273/10000]; ttime: 46 (0.01, 0.02); loss: 0.300
[3274/10000]; ttime: 46 (0.01, 0.02); loss: 0.303
[3275/10000]; ttime: 47 (0.01, 0.02); loss: 0.321
[3276/10000]; ttime: 48 (0.02, 1.12); loss: 0.304
[3277/10000]; ttime: 48 (0.03, 0.05); loss: 0.294
[3278/10000]; ttime: 48 (0.03, 0.04); loss: 0.321
[3279/10000]; ttime: 48 (0.01, 0.03); loss: 0.299
[3280/10000]; ttime: 48 (0.01, 0.03); loss: 0.312
[3281/10000]; ttime: 48 (0.01, 0.03); loss: 0.300
[3282/10000]; ttime: 48 (0.01, 0.03); loss: 0.312
[3283/10000]; ttime: 49 (0.03, 0.38); loss: 0.309
[3284/10000]; ttime: 49 (0.02, 0.03); loss: 0.310
[3285/10000]; ttime: 49 (0.02, 0.04); loss: 0.317
[3286/10000]; ttime: 49 (0.01, 0.03); loss: 0.315
[3287/10000]; ttime: 49 (0.02, 0.03); loss: 0.305
[3288/10000]; ttime: 49 (0.02, 0.03); loss: 0.304
[3289/10000]; ttime: 49 (0.01, 0.03); loss: 0.304
[3290/10000]; ttime: 50 (0.02, 0.33); loss: 0.301
[3291/10000]; ttime: 50 (0.02, 0.03); loss: 0.300
[3292/10000]; ttime: 50 (0.02, 0.03); loss: 0.307
[3293/10000]; ttime: 50 (0.01, 0.03); loss: 0.307
[3294/10000]; ttime: 50 (0.01, 0.03); loss: 0.289
[3295/10000]; ttime: 50 (0.02, 0.03); loss: 0.308
[3296/10000]; ttime: 50 (0.01, 0.03); loss: 0.300
[3297/10000]; ttime: 51 (0.02, 0.29); loss: 0.295
[3298/10000]; ttime: 51 (0.02, 0.03); loss: 0.292
[3299/10000]; ttime: 51 (0.02, 0.03); loss: 0.318
[3300/10000]; ttime: 51 (0.01, 0.02); loss: 0.298
[3301/10000]; ttime: 51 (0.01, 0.02); loss: 0.304
[3302/10000]; ttime: 51 (0.01, 0.02); loss: 0.296
[3303/10000]; ttime: 51 (0.01, 0.02); loss: 0.305
[3304/10000]; ttime: 52 (0.02, 0.21); loss: 0.299
[3305/10000]; ttime: 52 (0.02, 0.03); loss: 0.305
[3306/10000]; ttime: 52 (0.01, 0.03); loss: 0.287
[3307/10000]; ttime: 52 (0.01, 0.02); loss: 0.303
[3308/10000]; ttime: 52 (0.01, 0.02); loss: 0.301
[3309/10000]; ttime: 52 (0.01, 0.02); loss: 0.294
[3310/10000]; ttime: 52 (0.01, 0.02); loss: 0.298
[3311/10000]; ttime: 53 (0.02, 0.72); loss: 0.292
[3312/10000]; ttime: 53 (0.01, 0.02); loss: 0.285
[3313/10000]; ttime: 53 (0.02, 0.03); loss: 0.328
[3314/10000]; ttime: 53 (0.01, 0.02); loss: 0.312
[3315/10000]; ttime: 53 (0.01, 0.02); loss: 0.295
[3316/10000]; ttime: 53 (0.01, 0.02); loss: 0.316
[3317/10000]; ttime: 54 (0.01, 0.02); loss: 0.385
[3318/10000]; ttime: 54 (0.02, 0.28); loss: 0.322
[3319/10000]; ttime: 54 (0.02, 0.03); loss: 0.323
[3320/10000]; ttime: 54 (0.01, 0.02); loss: 0.311
[3321/10000]; ttime: 54 (0.01, 0.02); loss: 0.313
[3322/10000]; ttime: 54 (0.01, 0.02); loss: 0.314
[3323/10000]; ttime: 54 (0.01, 0.02); loss: 0.315
[3324/10000]; ttime: 55 (0.01, 0.02); loss: 0.338
[3325/10000]; ttime: 55 (0.02, 0.59); loss: 0.326
[3326/10000]; ttime: 55 (0.01, 0.02); loss: 0.309
[3327/10000]; ttime: 55 (0.01, 0.02); loss: 0.297
[3328/10000]; ttime: 55 (0.01, 0.02); loss: 0.314
[3329/10000]; ttime: 56 (0.01, 0.02); loss: 0.318
[3330/10000]; ttime: 56 (0.01, 0.02); loss: 0.300
[3331/10000]; ttime: 56 (0.01, 0.02); loss: 0.337
[3332/10000]; ttime: 56 (0.02, 0.23); loss: 0.309
[3333/10000]; ttime: 56 (0.01, 0.02); loss: 0.300
[3334/10000]; ttime: 56 (0.01, 0.02); loss: 0.309
[3335/10000]; ttime: 56 (0.01, 0.02); loss: 0.309
[3336/10000]; ttime: 56 (0.01, 0.02); loss: 0.317
[3337/10000]; ttime: 57 (0.01, 0.02); loss: 0.329
[3338/10000]; ttime: 57 (0.01, 0.02); loss: 0.319
[3339/10000]; ttime: 57 (0.02, 0.67); loss: 0.314
[3340/10000]; ttime: 57 (0.01, 0.03); loss: 0.323
[3341/10000]; ttime: 58 (0.02, 0.03); loss: 0.304
[3342/10000]; ttime: 58 (0.01, 0.03); loss: 0.308
[3343/10000]; ttime: 58 (0.01, 0.02); loss: 0.295
[3344/10000]; ttime: 58 (0.01, 0.02); loss: 0.304
[3345/10000]; ttime: 58 (0.01, 0.02); loss: 0.301
[3346/10000]; ttime: 59 (0.03, 1.11); loss: 0.291
[3347/10000]; ttime: 59 (0.02, 0.03); loss: 0.286
[3348/10000]; ttime: 59 (0.02, 0.03); loss: 0.311
[3349/10000]; ttime: 59 (0.01, 0.02); loss: 0.290
[3350/10000]; ttime: 60 (0.01, 0.03); loss: 0.307
[3351/10000]; ttime: 60 (0.01, 0.03); loss: 0.295
[3352/10000]; ttime: 60 (0.01, 0.03); loss: 0.311
[3353/10000]; ttime: 60 (0.02, 0.29); loss: 0.293
[3354/10000]; ttime: 60 (0.02, 0.03); loss: 0.286
[3355/10000]; ttime: 60 (0.02, 0.03); loss: 0.307
[3356/10000]; ttime: 60 (0.01, 0.02); loss: 0.314
[3357/10000]; ttime: 60 (0.01, 0.02); loss: 0.298
[3358/10000]; ttime: 61 (0.01, 0.02); loss: 0.290
[3359/10000]; ttime: 61 (0.01, 0.02); loss: 0.293
[3360/10000]; ttime: 61 (0.02, 0.20); loss: 0.292
[3361/10000]; ttime: 61 (0.02, 0.03); loss: 0.302
[3362/10000]; ttime: 61 (0.01, 0.02); loss: 0.305
[3363/10000]; ttime: 61 (0.01, 0.03); loss: 0.290
[3364/10000]; ttime: 61 (0.01, 0.02); loss: 0.316
[3365/10000]; ttime: 61 (0.01, 0.02); loss: 0.280
[3366/10000]; ttime: 62 (0.01, 0.02); loss: 0.290
[3367/10000]; ttime: 62 (0.02, 0.31); loss: 0.283
[3368/10000]; ttime: 62 (0.01, 0.03); loss: 0.284
[3369/10000]; ttime: 62 (0.01, 0.03); loss: 0.276
[3370/10000]; ttime: 62 (0.01, 0.03); loss: 0.299
[3371/10000]; ttime: 62 (0.01, 0.02); loss: 0.307
[3372/10000]; ttime: 62 (0.01, 0.02); loss: 0.291
[3373/10000]; ttime: 63 (0.01, 0.02); loss: 0.327
[3374/10000]; ttime: 63 (0.02, 0.39); loss: 0.285
[3375/10000]; ttime: 63 (0.01, 0.03); loss: 0.304
[3376/10000]; ttime: 63 (0.01, 0.02); loss: 0.284
[3377/10000]; ttime: 63 (0.01, 0.02); loss: 0.292
[3378/10000]; ttime: 63 (0.01, 0.02); loss: 0.287
[3379/10000]; ttime: 63 (0.01, 0.02); loss: 0.296
[3380/10000]; ttime: 64 (0.01, 0.02); loss: 0.295
[3381/10000]; ttime: 64 (0.02, 0.27); loss: 0.282
[3382/10000]; ttime: 64 (0.02, 0.03); loss: 0.299
[3383/10000]; ttime: 64 (0.01, 0.02); loss: 0.281
[3384/10000]; ttime: 64 (0.01, 0.02); loss: 0.302
[3385/10000]; ttime: 64 (0.01, 0.02); loss: 0.290
[3386/10000]; ttime: 64 (0.01, 0.02); loss: 0.279
[3387/10000]; ttime: 65 (0.01, 0.02); loss: 0.301
[3388/10000]; ttime: 65 (0.02, 0.36); loss: 0.269
[3389/10000]; ttime: 65 (0.02, 0.03); loss: 0.300
[3390/10000]; ttime: 65 (0.02, 0.03); loss: 0.285
[3391/10000]; ttime: 65 (0.01, 0.03); loss: 0.297
[3392/10000]; ttime: 65 (0.01, 0.02); loss: 0.303
[3393/10000]; ttime: 65 (0.01, 0.02); loss: 0.278
[3394/10000]; ttime: 66 (0.01, 0.02); loss: 0.278
[3395/10000]; ttime: 66 (0.02, 0.24); loss: 0.280
[3396/10000]; ttime: 66 (0.02, 0.03); loss: 0.295
[3397/10000]; ttime: 66 (0.02, 0.03); loss: 0.286
[3398/10000]; ttime: 66 (0.01, 0.02); loss: 0.281
[3399/10000]; ttime: 66 (0.01, 0.02); loss: 0.305
[3400/10000]; ttime: 66 (0.01, 0.02); loss: 0.269
[3401/10000]; ttime: 66 (0.01, 0.02); loss: 0.282
[3402/10000]; ttime: 67 (0.02, 0.41); loss: 0.272
[3403/10000]; ttime: 67 (0.02, 0.03); loss: 0.278
[3404/10000]; ttime: 67 (0.01, 0.02); loss: 0.295
[3405/10000]; ttime: 67 (0.01, 0.03); loss: 0.301
[3406/10000]; ttime: 67 (0.01, 0.02); loss: 0.284
[3407/10000]; ttime: 67 (0.01, 0.02); loss: 0.275
[3408/10000]; ttime: 68 (0.01, 0.02); loss: 0.288
[3409/10000]; ttime: 68 (0.02, 0.34); loss: 0.288
[3410/10000]; ttime: 68 (0.01, 0.03); loss: 0.269
[3411/10000]; ttime: 68 (0.01, 0.02); loss: 0.297
[3412/10000]; ttime: 68 (0.01, 0.02); loss: 0.266
[3413/10000]; ttime: 68 (0.01, 0.02); loss: 0.286
[3414/10000]; ttime: 68 (0.01, 0.02); loss: 0.274
[3415/10000]; ttime: 69 (0.01, 0.02); loss: 0.302
